Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
87,FALSE,,Coureur,,,GROUPAMA-FDJ,,
88,FALSE,,Coureur,,,GROUPAMA-FDJ,,
89,FALSE,,Maillot,,,GROUPAMA-FDJ,,
90,FALSE,,Vélo,,,GROUPAMA-FDJ,,
91,FALSE,,Coureur,,,GROUPAMA-FDJ,,
92,FALSE,,Coureur,,,GROUPAMA-FDJ,,
93,FALSE,,Coureur,,,GROUPAMA-FDJ,,
94,FALSE,,Coureur,,,GROUPAMA-FDJ,,
95,FALSE,,Coureur,,,GROUPAMA-FDJ,,
96,FALSE,,Logo,,,INEOS GRENADIERS,,
97,FALSE,,Coureur,,,INEOS GRENADIERS,,
98,FALSE,,Coureur,,,INEOS GRENADIERS,,
99,FALSE,,Coureur,,,INEOS GRENADIERS,,
100,FALSE,,Coureur,,,INEOS GRENADIERS,,
101,TRUE,,Coureur,Salvatore Puccio,ITA,INEOS GRENADIERS,,
102,FALSE,,Maillot,,,INEOS GRENADIERS,,
103,FALSE,,Vélo,,,INEOS GRENADIERS,,
104,FALSE,,Coureur,,,INEOS GRENADIERS,,
105,FALSE,,Coureur,,,INEOS GRENADIERS,,
106,FALSE,,Coureur,,,INEOS GRENADIERS,,
107,FALSE,,Coureur,,,INEOS GRENADIERS,,
108,FALSE,,Coureur,,,INEOS GRENADIERS,,
109,FALSE,,Logo,,,INTERMARCHÉ | WANTY,,
110,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
111,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
112,TRUE,,Coureur,Kevin Colleoni,ITA,INTERMARCHÉ | WANTY,,
113,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
114,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
115,FALSE,,Maillot,,,INTERMARCHÉ | WANTY,,
116,FALSE,,Vélo,,,INTERMARCHÉ | WANTY,,
117,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
118,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
119,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
120,FALSE,,Coureur,,,INTERMARCHÉ | WANTY,,
121,TRUE,,Coureur,Taco Van Der Hoorn,NED,INTERMARCHÉ | WANTY,,
122,FALSE,,Logo,,,ISRAEL-PREMIER TECH,,
123,TRUE,,Coureur,Derek Gee,CAN,ISRAEL-PREMIER TECH,,
124,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
125,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
126,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
127,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
128,FALSE,,Maillot,,,ISRAEL-PREMIER TECH,,
129,FALSE,,Vélo,,,ISRAEL-PREMIER TECH,,
130,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
131,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
132,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
133,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
134,FALSE,,Coureur,,,ISRAEL-PREMIER TECH,,
135,FALSE,,Logo,,,LIDL - TREK,,
136,FALSE,,Coureur,,,LIDL - TREK,,
137,FALSE,,Coureur,,,LIDL - TREK,,
138,FALSE,,Coureur,,,LIDL - TREK,,
139,FALSE,,Coureur,,,LIDL - TREK,,
140,FALSE,,Coureur,,,LIDL - TREK,,
141,FALSE,,Maillot,,,LIDL - TREK,,
142,FALSE,,Vélo,,,LIDL - TREK,,
143,FALSE,,Coureur,,,LIDL - TREK,,
144,FALSE,,Coureur,,,LIDL - TREK,,
145,FALSE,,Coureur,,,LIDL - TREK,,
146,FALSE,,Coureur,,,LIDL - TREK,,
147,FALSE,,Coureur,,,LIDL - TREK,,
148,FALSE,,Logo,,,MOVISTAR TEAM,,
149,FALSE,,Coureur,,,MOVISTAR TEAM,,
150,FALSE,,Coureur,,,MOVISTAR TEAM,,
151,FALSE,,Coureur,,,MOVISTAR TEAM,,
152,FALSE,,Coureur,,,MOVISTAR TEAM,,
153,FALSE,,Coureur,,,MOVISTAR TEAM,,
154,FALSE,,Maillot,,,MOVISTAR TEAM,,
155,FALSE,,Vélo,,,MOVISTAR TEAM,,
156,FALSE,,Coureur,,,MOVISTAR TEAM,,
157,FALSE,,Coureur,,,MOVISTAR TEAM,,
158,FALSE,,Coureur,,,MOVISTAR TEAM,,
159,FALSE,,Coureur,,,MOVISTAR TEAM,,
160,FALSE,,Coureur,,,MOVISTAR TEAM,,
161,TRUE,,Logo,Logo Q36.5,,Q36.5 PRO CYCLING TEAM,,
162,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
163,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
164,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
165,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
166,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
167,FALSE,,Maillot,,,Q36.5 PRO CYCLING TEAM,,
168,FALSE,,Vélo,,,Q36.5 PRO CYCLING TEAM,,
169,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
170,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
171,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
172,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
173,FALSE,,Coureur,,,Q36.5 PRO CYCLING TEAM,,
174,FALSE,,Logo,,,RED BULL - BORA - HANSGROHE,,
175,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
176,TRUE,,Coureur,Daniel Felipe Martinez,COL,RED BULL - BORA - HANSGROHE,,
177,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
178,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
179,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
180,FALSE,,Maillot,,,RED BULL - BORA - HANSGROHE,,
181,FALSE,,Vélo,,,RED BULL - BORA - HANSGROHE,,
182,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
183,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
184,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
185,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
186,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
187,FALSE,,Logo,,,SOUDAL QUICK-STEP,,
188,FALSE,,Coureur,,,SOUDAL QUICK-STEP,,
189,FALSE,,Coureur,,,SOUDAL QUICK-STEP,,
190,FALSE,,Coureur,,,SOUDAL QUICK-STEP,,
191,FALSE,,Coureur,,,SOUDAL QUICK-STEP,,
192,FALSE,,Coureur,,,SOUDAL QUICK-STEP,,
